title,date,time,location,venue,category,subcategory,source,source_url,description,city,teams,age_group,registration_url,latitude,longitude
Great River Classic Soccer,"September 24-26, 2026",8:00 AM,"Bettendorf, IA",TBK Bank Sports Complex,kids_athletics,soccer,TBK Bank Sports Complex,https://www.tbkbanksportscomplex.com/events/,,Bettendorf,,Youth,,41.5503,-90.4857
Battle By The River Rodeo,2026,Evening,"Coralville, IA",Xtream Arena,sports,rodeo,Xtream Arena,https://xtreamarena.com/,,Coralville,,,,41.6765,-91.5804
Iowa Barnstormers Arena Football,Spring 2026,7:00 PM,"Des Moines, IA",Wells Fargo Arena,sports,football,Iowa Events Center,https://www.iowaeventscenter.com/events/,,Des Moines,,,,41.5868,-93.625
Oktoberfest,September 2026,All day,"Altoona, IA",Adventureland,family,festival,Adventureland,https://www.adventurelandresort.com/,,Altoona,,All ages,,41.6442,-93.4647
Phantom Fall Fest,"September 26 - October 31, 2026",All day,"Altoona, IA",Adventureland,family,halloween,Adventureland,https://www.adventurelandresort.com/,,Altoona,,All ages,,41.6442,-93.4647
Living History Farms Race,November 2026,All day,"Urbandale, IA",Living History Farms,running,race,LHF Race,https://www.lhf.org/,,Urbandale,,,,41.6267,-93.7122
Des Moines Turkey Trot,"November 26, 2026",8:00 AM,"Des Moines, IA",Downtown,running,race,RipRoar Events,https://www.damtodsm.com/,,Des Moines,,,,41.5868,-93.625
Des Moines Women's Half Marathon,2026,Morning,"Des Moines, IA",Downtown,running,race,RipRoar Events,https://www.damtodsm.com/,,Des Moines,,,,41.5868,-93.625
Clay County Fair,"September 12-20, 2026",All day,"Spencer, IA",Spencer Fairgrounds,fair,county_fair,Iowa Fairs Association,https://iowafairs.com/,,Spencer,,All ages,,,
Kenny Wayne Shepherd Band,"November 20, 2026",8:00 PM,"Cedar Rapids, IA",Riverside Casino,entertainment,concert,CR Events Live,https://www.creventslive.com/,,Cedar Rapids,,,,41.9779,-91.6656
ArtSplash,September 2026,All day,"Sioux City, IA",Downtown,community,arts,Explore Siouxland,https://exploresiouxland.com/events/,,Sioux City,,,,42.4963,-96.4049
Five Flags Movie Series,Winter 2026,Evening,"Dubuque, IA",Five Flags Theater,community,entertainment,Dubuque Chamber,https://www.dubuquechamber.com,,Dubuque,,,,42.5006,-90.6646
World Food & Music Festival,September 2026,All day,"Des Moines, IA",Western Gateway Park,community,festival,Catch Des Moines,https://www.catchdesmoines.com/events/,,Des Moines,,,,41.5868,-93.625
Holidazzle,November-December 2026,Evening,"Des Moines, IA",Downtown,community,holiday,Catch Des Moines,https://www.catchdesmoines.com/events/,,Des Moines,,,,41.5868,-93.625
Breakfast B4 Business (monthly),2026,7:30 AM,"West Des Moines, IA",Various,community,chamber,WDM Chamber,https://wdmchamber.org/,,West Des Moines,,,,41.5772,-93.7113
Best of the West Awards,"December 1, 2026",5:00 PM - 7:00 PM,"West Des Moines, IA",,community,chamber,WDM Chamber,https://wdmchamber.org/,,West Des Moines,,,,41.5772,-93.7113
genYP Events,2026 Monthly,Various,"Urbandale, IA",,community,chamber,Urbandale Chamber,https://uniquelyurbandale.com/,,Urbandale,,,,41.6267,-93.7122
Witches Night Out,October 2026,Evening,"Ankeny, IA",Various,community,festival,Ankeny Chamber,https://www.ankeny.org/,,Ankeny,,,,41.7318,-93.6001
Iowa Football vs Northern Illinois,"September 5, 2026",TBD,"Iowa City, IA",Kinnick Stadium,college_sports,football,Iowa Hawkeyes,https://hawkeyesports.com/,,Iowa City,,,,41.6611,-91.5302
Iowa Football vs Iowa State,"September 12, 2026",TBD,"Iowa City, IA",Kinnick Stadium,college_sports,football,Iowa Hawkeyes,https://hawkeyesports.com/,,Iowa City,,,,41.6611,-91.5302
Iowa Football vs UNI,"September 19, 2026",TBD,"Iowa City, IA",Kinnick Stadium,college_sports,football,Iowa Hawkeyes,https://hawkeyesports.com/,,Iowa City,,,,41.6611,-91.5302
IGHSAU State Volleyball,November 2026,All day,"Cedar Rapids, IA",Xtream Arena,high_school_sports,volleyball,IHSAA/IGHSAU,https://www.iahsaa.org,,Cedar Rapids,,High School Girls,,41.9779,-91.6656
IHSAA State Football,November 2026,All day,"Cedar Falls, IA",UNI-Dome,high_school_sports,football,IHSAA/IGHSAU,https://www.iahsaa.org,,Cedar Falls,,High School Boys,,42.5349,-92.4453
Zoo Brew,Summer 2026,Evening,"Des Moines, IA",Blank Park Zoo,family,adults,Blank Park Zoo,https://www.blankparkzoo.com/,,Des Moines,,,,41.5868,-93.625
Boo at the Zoo,October 2026,All day,"Des Moines, IA",Blank Park Zoo,family,family,Blank Park Zoo,https://www.blankparkzoo.com/,,Des Moines,,,,41.5868,-93.625
Wild Lights,November-December 2026,Evening,"Des Moines, IA",Blank Park Zoo,family,holiday,Blank Park Zoo,https://www.blankparkzoo.com/,,Des Moines,,,,41.5868,-93.625
Science Center Exhibits,2026,All day,"Des Moines, IA",Science Center of Iowa,family,exhibit,Science Center of Iowa,https://www.sciowa.org/,,Des Moines,,,,41.5868,-93.625
Fall Harvest Festival,October 2026,All day,"Urbandale, IA",Living History Farms,family,festival,Living History Farms,https://www.lhf.org/,,Urbandale,,,,41.6267,-93.7122
Legends & Lanterns Halloween,October 2026,Evening,"Urbandale, IA",Living History Farms,family,halloween,Living History Farms,https://www.lhf.org/,,Urbandale,,,,41.6267,-93.7122
